x	y	velocity[m]
-4.19144402406689	-2.9744969244477915	3.9345843394771953	0.03331768030581674
-4.280127564557596	-2.8543908921582526	3.4459312809228533	0.04343694268920833
-4.352636472523814	-2.7238891460485917	3.1933679117986395	0.050579503361438384
-4.405154529562103	-2.5841579241502872	3.4220662422010304	0.0440449022588164
-4.438834143543406	-2.43870647362629	3.844520490858799	0.034897001712811085
-4.457167267632046	-2.290537187954696	4.232863238170742	0.026461418816732737
-4.463680427427702	-2.141376956648587	4.585585155837256	0.019263698527794304
-4.46153929256576	-1.9920895772823357	4.911176608132246	0.013495782763712954
-4.453405814550017	-1.8430098428476782	5.215180015562584	0.007514220786755679
-4.4416712324258985	-1.6941691468120679	5.501464583894093	0.007254009419347825
-4.4265779262222775	-1.5456311941711505	5.44910881065962	0.012045244754741885
